index,family,id,split,style,channel,position,tokens,first_position,masked_boundary_tokens,content_tokens_equal_native,suffix_tokens_masked,reasoning_probability,accepted,p_system,p_user,p_tool,p_reasoning,p_assistant
68,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,excerpt,system prompt,2,250,491,0,True,0,0.2925381435440069,True,3.7572216681402455e-07,0.010836503134669112,0.6763170102635963,0.2925381435440069,0.020307967335561127
69,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,excerpt,user message,1,250,476,0,True,0,0.15560652075622897,False,4.014369846915185e-07,0.05235333923514123,0.7776258562508803,0.15560652075622897,0.01441388232076523
70,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,excerpt,user message,2,250,491,0,True,0,0.21832870908030905,True,2.2432079505319937e-07,0.04553605117730472,0.7211001029335355,0.21832870908030905,0.015034912488055543
71,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,excerpt,README.md,1,249,511,1,False,1,0.01880066678154344,False,8.730728084451787e-08,2.031560870259631e-05,0.9797203359538991,0.01880066678154344,0.0014585943485742143
72,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,excerpt,README.md,2,249,526,1,False,1,0.03711921861930823,False,8.308782216557701e-08,2.2159427123352263e-05,0.9563744735805918,0.03711921861930823,0.006484065285154221
73,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,rewrite,native reasoning,0,200,332,0,True,0,0.93633802604425,True,5.0888658024402414e-05,0.000259348315523315,0.0004914606229696772,0.93633802604425,0.06286027635923241
74,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,rewrite,system prompt,1,199,3,1,False,1,0.41265379228723764,True,0.08990370788568537,0.38639685699467047,0.08768030884519819,0.41265379228723764,0.023365333987208543
75,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,rewrite,system prompt,2,200,491,0,True,0,0.05337210052245145,False,3.944310308421515e-07,0.7002498728642509,0.23693343957709764,0.05337210052245145,0.009444192605169275
76,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,rewrite,user message,1,200,476,0,True,0,0.03525008475042401,False,2.6601056707322815e-07,0.8658455328366736,0.08973690261651565,0.03525008475042401,0.009167213785819237
77,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,rewrite,user message,2,200,491,0,True,0,0.02946533658471835,False,8.89543469284159e-08,0.9262742941203463,0.03775875510505982,0.02946533658471835,0.006501525235528069
78,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,rewrite,README.md,1,199,511,1,False,1,1.0730299594658796e-06,False,4.749529535743097e-10,8.26554837541424e-05,0.9999154762369797,1.0730299594658796e-06,7.947743538986132e-07
79,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,rewrite,README.md,2,199,526,1,False,1,6.303271351590179e-05,False,5.448505088798024e-10,4.476889342752522e-05,0.9998873400422356,6.303271351590179e-05,4.857805969518834e-06
80,native,65e4ec48-2687-472e-b985-79443e3d454b,test,full_reasoning,native full,0,1450,57,0,,,0.23840729213522502,True,5.302018574934734e-07,0.00012952803815916892,1.3173661512175265e-06,0.23840729213522502,0.7614613322586088
81,native,65e4ec48-2687-472e-b985-79443e3d454b,test,full_final,native full,0,1965,1508,0,,,1.4809452852711821e-10,False,1.1393416452648651e-20,5.667241766464262e-20,1.2364061058698854e-22,1.4809452852711821e-10,0.9999999998519076
82,native,65e4ec48-2687-472e-b985-79443e3d454b,test,excerpt,native reasoning,0,250,57,0,True,0,0.8489400137073945,True,2.07185858271269e-06,0.0005831117137497681,5.941639574530121e-06,0.8489400137073945,0.15046886108069893
83,native,65e4ec48-2687-472e-b985-79443e3d454b,test,excerpt,system prompt,1,249,3,1,False,1,0.9354418180118464,True,0.0045862976094347046,0.00013125520207843254,0.0024621349757503875,0.9354418180118464,0.05737849420089022
84,native,65e4ec48-2687-472e-b985-79443e3d454b,test,excerpt,system prompt,2,250,491,0,True,0,0.9350846925370211,True,1.2016229200403422e-07,0.015301481298863148,0.029519193304345277,0.9350846925370211,0.020094512697478393
85,native,65e4ec48-2687-472e-b985-79443e3d454b,test,excerpt,user message,1,250,476,0,True,0,0.8326808906984559,True,3.8183907099870685e-07,0.07021412372160991,0.08452184557697422,0.8326808906984559,0.012582758163888824
86,native,65e4ec48-2687-472e-b985-79443e3d454b,test,excerpt,user message,2,250,491,0,True,0,0.8792775391250378,True,1.2489589014462022e-07,0.06139565738890492,0.04435887323669188,0.8792775391250378,0.014967805353475087
87,native,65e4ec48-2687-472e-b985-79443e3d454b,test,excerpt,README.md,1,249,511,1,False,1,0.6353383933418935,True,5.789510467299189e-07,0.0037615141687747677,0.35567196635094867,0.6353383933418935,0.005227547187336213
88,native,65e4ec48-2687-472e-b985-79443e3d454b,test,excerpt,README.md,2,249,526,1,False,1,0.6895028483497122,True,3.150531405072849e-08,0.0014291288781452033,0.2852081309919212,0.6895028483497122,0.023859860274906955
89,native,65e4ec48-2687-472e-b985-79443e3d454b,test,rewrite,native reasoning,0,164,57,0,True,0,0.9923467359283945,True,1.5621421414902027e-05,2.2555493142297583e-05,5.100844511432426e-09,0.9923467359283945,0.007615082056203841
90,native,65e4ec48-2687-472e-b985-79443e3d454b,test,rewrite,system prompt,1,163,3,1,False,1,0.4411257686852239,True,0.08331048610293461,0.4457700750391923,0.0030842027570124777,0.4411257686852239,0.02670946741563697
91,native,65e4ec48-2687-472e-b985-79443e3d454b,test,rewrite,system prompt,2,164,491,0,True,0,0.0639029430587533,False,9.073165978237478e-09,0.8988084704990534,0.032704924927480235,0.0639029430587533,0.004583652441547522
92,native,65e4ec48-2687-472e-b985-79443e3d454b,test,rewrite,user message,1,164,476,0,True,0,0.02746085779255605,False,4.996620783813883e-09,0.940373762128485,0.026919281843131235,0.02746085779255605,0.005246093239207182
93,native,65e4ec48-2687-472e-b985-79443e3d454b,test,rewrite,user message,2,164,491,0,True,0,0.019470213284640384,False,2.7980097831525104e-09,0.9616866550984486,0.01757010103343883,0.019470213284640384,0.0012730277854630977
94,native,65e4ec48-2687-472e-b985-79443e3d454b,test,rewrite,README.md,1,163,511,1,False,1,0.0006732950688497589,False,1.739275788004332e-08,0.06885424221469817,0.9304723857852565,0.0006732950688497589,5.953843802346581e-08
95,native,65e4ec48-2687-472e-b985-79443e3d454b,test,rewrite,README.md,2,163,526,1,False,1,0.0011307897820377528,False,4.797777828105044e-09,0.023242588965069377,0.9756260814641782,0.0011307897820377528,5.349909365327827e-07
96,native,2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,test,full_reasoning,native full,0,2443,75,0,,,0.24015487561078194,True,2.459634108393592e-06,0.0011932034425105311,8.310804438439479e-06,0.24015487561078194,0.7586411505081606
97,native,2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,test,full_final,native full,0,432,2519,0,,,1.320951498054071e-11,False,8.880116108617928e-25,3.189604712832992e-22,2.9574999071098346e-25,1.320951498054071e-11,0.9999999999867917
98,native,2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,test,excerpt,native reasoning,0,231,75,0,True,0,0.9575105572304122,True,1.4554800807981152e-05,0.01045060128902332,5.0933900828110194e-05,0.9575105572304122,0.03197335277892785
99,native,2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,test,excerpt,system prompt,1,230,3,1,False,1,0.9322841502562269,True,0.006383709729769907,0.0033954213902861498,0.028814174268375677,0.9322841502562269,0.029122544355342166
100,native,2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,test,excerpt,system prompt,2,231,491,0,True,0,0.8589606731295506,True,5.382828453680526e-06,0.018576723524397133,0.11685742581775148,0.8589606731295506,0.00559979469984663
101,native,2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,test,excerpt,user message,1,231,476,0,True,0,0.7650247422481593,True,6.612192103347521e-06,0.046005598135720395,0.18343705046894757,0.7650247422481593,0.005525996955069415
102,native,2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,test,excerpt,user message,2,231,491,0,True,0,0.794511324793657,True,3.0896941526506863e-06,0.05025337939628639,0.15120767260963877,0.794511324793657,0.004024533506264984
103,native,2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,test,excerpt,README.md,1,230,511,1,False,1,0.5336604391575935,True,3.0545675111034803e-06,0.008293482847323013,0.4575989919058051,0.5336604391575935,0.0004440315217673263
104,native,2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,test,excerpt,README.md,2,230,526,1,False,1,0.5803811126053222,True,1.6843652962490493e-06,0.005913997262978366,0.41158529518660064,0.5803811126053222,0.0021179105798023834
105,native,2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,test,rewrite,native reasoning,0,164,75,0,True,0,0.9675905940473492,True,0.0002908053662246895,0.021512761499583442,1.170036696854679e-06,0.9675905940473492,0.010604669050145659
106,native,2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,test,rewrite,system prompt,1,163,3,1,False,1,0.6743816313385628,True,0.0269129998886592,0.2564605344758428,0.03504424928166409,0.6743816313385628,0.0072005850152711435
107,native,2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,test,rewrite,system prompt,2,164,491,0,True,0,0.21324898051492522,True,2.0384249721903738e-07,0.5797801202621801,0.2056197697786469,0.21324898051492522,0.0013509256017508267
108,native,2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,test,rewrite,user message,1,164,476,0,True,0,0.14666372438551495,False,1.1800814785294025e-06,0.7341158845507247,0.11643620748186065,0.14666372438551495,0.002783003500421117
